cam	receptor	cam.hs	receptor.hs
Cldn4	Cldn14	CLDN4	CLDN14
Cldn4	Cldn18	CLDN4	CLDN18
Cldn4	Cldn9	CLDN4	CLDN9
Cldn4	Cldn10	CLDN4	CLDN10
Cldn4	Cldn15	CLDN4	CLDN15
Cldn4	Cldn20	CLDN4	CLDN20
Cldn4	Cldn23	CLDN4	CLDN23
Cldn4	Cldn22	CLDN4	CLDN22
Cldn5	Cldn24	CLDN5	CLDN24
Cldn5	Cldn16	CLDN5	CLDN16
Cldn5	Cldn1	CLDN5	CLDN1
Cldn5	Cldn2	CLDN5	CLDN2
Cldn5	Cldn3	CLDN5	CLDN3
Cldn5	Cldn4	CLDN5	CLDN4
Cldn5	Cldn5	CLDN5	CLDN5
Cldn5	Cldn11	CLDN5	CLDN11
Cldn5	Cldn17	CLDN5	CLDN17
Cldn5	Cldn19	CLDN5	CLDN19
Cldn5	Cldn7	CLDN5	CLDN7
Cldn5	Cldn6	CLDN5	CLDN6
Cldn5	Cldn8	CLDN5	CLDN8
Cldn5	Cldn14	CLDN5	CLDN14
Cldn5	Cldn18	CLDN5	CLDN18
Cldn5	Cldn9	CLDN5	CLDN9
Cldn5	Cldn10	CLDN5	CLDN10
Cldn5	Cldn15	CLDN5	CLDN15
Cldn5	Cldn20	CLDN5	CLDN20
Cldn5	Cldn23	CLDN5	CLDN23
Cldn5	Cldn22	CLDN5	CLDN22
Cldn17	Cldn24	CLDN17	CLDN24
Cldn17	Cldn16	CLDN17	CLDN16
Cldn17	Cldn1	CLDN17	CLDN1
Cldn17	Cldn2	CLDN17	CLDN2
Cldn17	Cldn3	CLDN17	CLDN3
Cldn17	Cldn4	CLDN17	CLDN4
Cldn17	Cldn5	CLDN17	CLDN5
Cldn17	Cldn11	CLDN17	CLDN11
Cldn17	Cldn17	CLDN17	CLDN17
Cldn17	Cldn19	CLDN17	CLDN19
Cldn17	Cldn7	CLDN17	CLDN7
Cldn17	Cldn6	CLDN17	CLDN6
Cldn17	Cldn8	CLDN17	CLDN8
Cldn17	Cldn14	CLDN17	CLDN14
Cldn17	Cldn18	CLDN17	CLDN18
Cldn17	Cldn9	CLDN17	CLDN9
Cldn17	Cldn10	CLDN17	CLDN10
Cldn17	Cldn15	CLDN17	CLDN15
Cldn17	Cldn20	CLDN17	CLDN20
Cldn17	Cldn23	CLDN17	CLDN23
Cldn17	Cldn22	CLDN17	CLDN22
Cldn19	Cldn24	CLDN19	CLDN24
Cldn19	Cldn16	CLDN19	CLDN16
Cldn19	Cldn1	CLDN19	CLDN1
Cldn19	Cldn2	CLDN19	CLDN2
Cldn19	Cldn3	CLDN19	CLDN3
Cldn19	Cldn4	CLDN19	CLDN4
Cldn19	Cldn5	CLDN19	CLDN5
Cldn19	Cldn11	CLDN19	CLDN11
Cldn19	Cldn17	CLDN19	CLDN17
Cldn19	Cldn19	CLDN19	CLDN19
Cldn19	Cldn7	CLDN19	CLDN7
Cldn19	Cldn6	CLDN19	CLDN6
Cldn19	Cldn8	CLDN19	CLDN8
Cldn19	Cldn14	CLDN19	CLDN14
Cldn19	Cldn18	CLDN19	CLDN18
Cldn19	Cldn9	CLDN19	CLDN9
Cldn19	Cldn10	CLDN19	CLDN10
Cldn19	Cldn15	CLDN19	CLDN15
Cldn19	Cldn20	CLDN19	CLDN20
Cldn19	Cldn23	CLDN19	CLDN23
Cldn19	Cldn22	CLDN19	CLDN22
Cldn7	Cldn24	CLDN7	CLDN24
Cldn7	Cldn16	CLDN7	CLDN16
Cldn7	Cldn1	CLDN7	CLDN1
Cldn7	Cldn2	CLDN7	CLDN2
Cldn7	Cldn3	CLDN7	CLDN3
Cldn7	Cldn4	CLDN7	CLDN4
Cldn7	Cldn5	CLDN7	CLDN5
Cldn7	Cldn11	CLDN7	CLDN11
Cldn7	Cldn17	CLDN7	CLDN17
Cldn7	Cldn19	CLDN7	CLDN19
Cldn7	Cldn7	CLDN7	CLDN7
Cldn7	Cldn6	CLDN7	CLDN6
Cldn7	Cldn8	CLDN7	CLDN8
Cldn7	Cldn14	CLDN7	CLDN14
Cldn7	Cldn18	CLDN7	CLDN18
Cldn7	Cldn9	CLDN7	CLDN9
Cldn7	Cldn10	CLDN7	CLDN10
Cldn7	Cldn15	CLDN7	CLDN15
Cldn7	Cldn20	CLDN7	CLDN20
Cldn7	Cldn23	CLDN7	CLDN23
Cldn7	Cldn22	CLDN7	CLDN22
Cldn6	Cldn24	CLDN6	CLDN24
Cldn6	Cldn16	CLDN6	CLDN16
Cldn6	Cldn1	CLDN6	CLDN1
Cldn6	Cldn2	CLDN6	CLDN2
Cldn6	Cldn3	CLDN6	CLDN3
Cldn6	Cldn4	CLDN6	CLDN4
Cldn6	Cldn5	CLDN6	CLDN5
Cldn6	Cldn11	CLDN6	CLDN11
Cldn6	Cldn17	CLDN6	CLDN17
Cldn6	Cldn19	CLDN6	CLDN19
Cldn6	Cldn7	CLDN6	CLDN7
Cldn6	Cldn6	CLDN6	CLDN6
Cldn6	Cldn8	CLDN6	CLDN8
Cldn6	Cldn14	CLDN6	CLDN14
Cldn6	Cldn18	CLDN6	CLDN18
Cldn6	Cldn9	CLDN6	CLDN9
Cldn6	Cldn10	CLDN6	CLDN10
Cldn6	Cldn15	CLDN6	CLDN15
Cldn6	Cldn20	CLDN6	CLDN20
Cldn6	Cldn23	CLDN6	CLDN23
Cldn6	Cldn22	CLDN6	CLDN22
Cldn8	Cldn24	CLDN8	CLDN24
Cldn8	Cldn16	CLDN8	CLDN16
Cldn8	Cldn1	CLDN8	CLDN1
Cldn8	Cldn2	CLDN8	CLDN2
Cldn8	Cldn3	CLDN8	CLDN3
Cldn8	Cldn4	CLDN8	CLDN4
Cldn8	Cldn5	CLDN8	CLDN5
Cldn8	Cldn11	CLDN8	CLDN11
Cldn8	Cldn17	CLDN8	CLDN17
Cldn8	Cldn19	CLDN8	CLDN19
Cldn8	Cldn7	CLDN8	CLDN7
Cldn8	Cldn6	CLDN8	CLDN6
Cldn8	Cldn8	CLDN8	CLDN8
Cldn8	Cldn14	CLDN8	CLDN14
Cldn8	Cldn18	CLDN8	CLDN18
Cldn8	Cldn9	CLDN8	CLDN9
Cldn8	Cldn10	CLDN8	CLDN10
Cldn8	Cldn15	CLDN8	CLDN15
Cldn8	Cldn20	CLDN8	CLDN20
Cldn8	Cldn23	CLDN8	CLDN23
Cldn8	Cldn22	CLDN8	CLDN22
Cldn14	Cldn24	CLDN14	CLDN24
Cldn14	Cldn16	CLDN14	CLDN16
Cldn14	Cldn1	CLDN14	CLDN1
Cldn14	Cldn2	CLDN14	CLDN2
Cldn14	Cldn3	CLDN14	CLDN3
Cldn14	Cldn4	CLDN14	CLDN4
Cldn14	Cldn5	CLDN14	CLDN5
Cldn14	Cldn11	CLDN14	CLDN11
Cldn14	Cldn17	CLDN14	CLDN17
Cldn14	Cldn19	CLDN14	CLDN19
Cldn14	Cldn7	CLDN14	CLDN7
Cldn14	Cldn6	CLDN14	CLDN6
Cldn14	Cldn8	CLDN14	CLDN8
Cldn14	Cldn14	CLDN14	CLDN14
Cldn14	Cldn18	CLDN14	CLDN18
Cldn14	Cldn9	CLDN14	CLDN9
Cldn14	Cldn10	CLDN14	CLDN10
Cldn14	Cldn15	CLDN14	CLDN15
Cldn14	Cldn20	CLDN14	CLDN20
Cldn14	Cldn23	CLDN14	CLDN23
Cldn14	Cldn22	CLDN14	CLDN22
Cldn18	Cldn24	CLDN18	CLDN24
Cldn18	Cldn16	CLDN18	CLDN16
Cldn18	Cldn1	CLDN18	CLDN1
Cldn18	Cldn2	CLDN18	CLDN2
Cldn18	Cldn3	CLDN18	CLDN3
Cldn18	Cldn4	CLDN18	CLDN4
Cldn18	Cldn5	CLDN18	CLDN5
Cldn18	Cldn11	CLDN18	CLDN11
Cldn18	Cldn17	CLDN18	CLDN17
Cldn18	Cldn19	CLDN18	CLDN19
Cldn18	Cldn7	CLDN18	CLDN7
Cldn18	Cldn6	CLDN18	CLDN6
Cldn18	Cldn8	CLDN18	CLDN8
Cldn18	Cldn14	CLDN18	CLDN14
Cldn18	Cldn18	CLDN18	CLDN18
Cldn18	Cldn9	CLDN18	CLDN9
Cldn18	Cldn10	CLDN18	CLDN10
Cldn18	Cldn15	CLDN18	CLDN15
Cldn18	Cldn20	CLDN18	CLDN20
Cldn18	Cldn23	CLDN18	CLDN23
Cldn18	Cldn22	CLDN18	CLDN22
Cldn9	Cldn24	CLDN9	CLDN24
Cldn9	Cldn16	CLDN9	CLDN16
Cldn9	Cldn1	CLDN9	CLDN1
Cldn9	Cldn2	CLDN9	CLDN2
Cldn9	Cldn3	CLDN9	CLDN3
Cldn9	Cldn4	CLDN9	CLDN4
Cldn9	Cldn5	CLDN9	CLDN5
Cldn9	Cldn11	CLDN9	CLDN11
Cldn9	Cldn17	CLDN9	CLDN17
Cldn9	Cldn19	CLDN9	CLDN19
Cldn9	Cldn7	CLDN9	CLDN7
Cldn9	Cldn6	CLDN9	CLDN6
Cldn9	Cldn8	CLDN9	CLDN8
Cldn9	Cldn14	CLDN9	CLDN14
Cldn9	Cldn18	CLDN9	CLDN18
Cldn9	Cldn9	CLDN9	CLDN9
Cldn9	Cldn10	CLDN9	CLDN10
Cldn9	Cldn15	CLDN9	CLDN15
Cldn9	Cldn20	CLDN9	CLDN20
Cldn9	Cldn23	CLDN9	CLDN23
Cldn9	Cldn22	CLDN9	CLDN22
Cldn10	Cldn24	CLDN10	CLDN24
Cldn10	Cldn16	CLDN10	CLDN16
Cldn10	Cldn1	CLDN10	CLDN1
Cldn10	Cldn2	CLDN10	CLDN2
Cldn10	Cldn3	CLDN10	CLDN3
Cldn10	Cldn4	CLDN10	CLDN4
Cldn10	Cldn5	CLDN10	CLDN5
Cldn10	Cldn11	CLDN10	CLDN11
Cldn10	Cldn17	CLDN10	CLDN17
Cldn10	Cldn19	CLDN10	CLDN19
Cldn10	Cldn7	CLDN10	CLDN7
Cldn10	Cldn6	CLDN10	CLDN6
Cldn10	Cldn8	CLDN10	CLDN8
Cldn10	Cldn14	CLDN10	CLDN14
Cldn10	Cldn18	CLDN10	CLDN18
Cldn10	Cldn9	CLDN10	CLDN9
Cldn10	Cldn10	CLDN10	CLDN10
Cldn10	Cldn15	CLDN10	CLDN15
Cldn10	Cldn20	CLDN10	CLDN20
Cldn10	Cldn23	CLDN10	CLDN23
Cldn10	Cldn22	CLDN10	CLDN22
Cldn15	Cldn24	CLDN15	CLDN24
Cldn15	Cldn16	CLDN15	CLDN16
Cldn15	Cldn1	CLDN15	CLDN1
Cldn15	Cldn2	CLDN15	CLDN2
Cldn15	Cldn3	CLDN15	CLDN3
Cldn15	Cldn4	CLDN15	CLDN4
Cldn15	Cldn5	CLDN15	CLDN5
Cldn15	Cldn11	CLDN15	CLDN11
Cldn15	Cldn17	CLDN15	CLDN17
Cldn15	Cldn19	CLDN15	CLDN19
Cldn15	Cldn7	CLDN15	CLDN7
Cldn15	Cldn6	CLDN15	CLDN6
Cldn15	Cldn8	CLDN15	CLDN8
Cldn15	Cldn14	CLDN15	CLDN14
Cldn15	Cldn18	CLDN15	CLDN18
Cldn15	Cldn9	CLDN15	CLDN9
Cldn15	Cldn10	CLDN15	CLDN10
Cldn15	Cldn15	CLDN15	CLDN15
Cldn15	Cldn20	CLDN15	CLDN20
Cldn15	Cldn23	CLDN15	CLDN23
Cldn15	Cldn22	CLDN15	CLDN22
Cldn20	Cldn24	CLDN20	CLDN24
Cldn20	Cldn16	CLDN20	CLDN16
Cldn20	Cldn1	CLDN20	CLDN1
Cldn20	Cldn2	CLDN20	CLDN2
Cldn20	Cldn3	CLDN20	CLDN3
Cldn20	Cldn4	CLDN20	CLDN4
Cldn20	Cldn5	CLDN20	CLDN5
Cldn20	Cldn11	CLDN20	CLDN11
Cldn20	Cldn17	CLDN20	CLDN17
Cldn20	Cldn19	CLDN20	CLDN19
Cldn20	Cldn7	CLDN20	CLDN7
Cldn20	Cldn6	CLDN20	CLDN6
Cldn20	Cldn8	CLDN20	CLDN8
Cldn20	Cldn14	CLDN20	CLDN14
Cldn20	Cldn18	CLDN20	CLDN18
Cldn20	Cldn9	CLDN20	CLDN9
Cldn20	Cldn10	CLDN20	CLDN10
Cldn20	Cldn15	CLDN20	CLDN15
Cldn20	Cldn20	CLDN20	CLDN20
Cldn20	Cldn23	CLDN20	CLDN23
Cldn20	Cldn22	CLDN20	CLDN22
Cldn23	Cldn24	CLDN23	CLDN24
Cldn23	Cldn16	CLDN23	CLDN16
Cldn23	Cldn1	CLDN23	CLDN1
Cldn23	Cldn2	CLDN23	CLDN2
Cldn23	Cldn3	CLDN23	CLDN3
Cldn23	Cldn4	CLDN23	CLDN4
Cldn23	Cldn5	CLDN23	CLDN5
Cldn23	Cldn11	CLDN23	CLDN11
Cldn23	Cldn17	CLDN23	CLDN17
Cldn23	Cldn19	CLDN23	CLDN19
Cldn23	Cldn7	CLDN23	CLDN7
Cldn23	Cldn6	CLDN23	CLDN6
Cldn23	Cldn8	CLDN23	CLDN8
Cldn23	Cldn14	CLDN23	CLDN14
Cldn23	Cldn18	CLDN23	CLDN18
Cldn23	Cldn9	CLDN23	CLDN9
Cldn23	Cldn10	CLDN23	CLDN10
Cldn23	Cldn15	CLDN23	CLDN15
Cldn23	Cldn20	CLDN23	CLDN20
Cldn23	Cldn23	CLDN23	CLDN23
Cldn23	Cldn22	CLDN23	CLDN22
Cldn22	Cldn24	CLDN22	CLDN24
Cldn22	Cldn16	CLDN22	CLDN16
Cldn22	Cldn1	CLDN22	CLDN1
Cldn22	Cldn2	CLDN22	CLDN2
Cldn22	Cldn3	CLDN22	CLDN3
Cldn22	Cldn4	CLDN22	CLDN4
Cldn22	Cldn5	CLDN22	CLDN5
Cldn22	Cldn11	CLDN22	CLDN11
Cldn22	Cldn17	CLDN22	CLDN17
Cldn22	Cldn19	CLDN22	CLDN19
Cldn22	Cldn7	CLDN22	CLDN7
Cldn22	Cldn6	CLDN22	CLDN6
Cldn22	Cldn8	CLDN22	CLDN8
Cldn22	Cldn14	CLDN22	CLDN14
Cldn22	Cldn18	CLDN22	CLDN18
Cldn22	Cldn9	CLDN22	CLDN9
Cldn22	Cldn10	CLDN22	CLDN10
Cldn22	Cldn15	CLDN22	CLDN15
Cldn22	Cldn20	CLDN22	CLDN20
Cldn22	Cldn23	CLDN22	CLDN23
Cldn22	Cldn22	CLDN22	CLDN22
Lrrc4c	Ntng1	LRRC4C	NTNG1
Lrrc4	Ntng2	LRRC4	NTNG2
Lrrc4b	Ptprf	LRRC4B	PTPRF
